pop,prob_mut,best_mean,best_std,gen_mean
20,0.001,-2.5503001751793235,0.23893671526515098,56.6
20,0.01,-2.713121198104605,0.1260378288761108,235.4
20,0.1,-2.890953806570281,0.012066933649786421,89.6
50,0.001,-2.827205223513579,0.05505879693528019,38.0
50,0.01,-2.8956493644083623,0.05246866855033158,112.6
50,0.1,-2.909694818621478,0.010272215963078854,145.4
100,0.001,-2.88258613230672,0.03848081065360985,16.2
100,0.01,-2.9137449645200286,0.040744072947458916,46.4
100,0.1,-2.9209949180105594,0.014651388598405483,120.4
200,0.001,-2.892800795835193,0.035763675925429395,12.0
200,0.01,-2.892126968207865,0.028511035286959488,99.2
200,0.1,-2.922872431045318,0.005712770388985906,148.4
